Constituency,Const. No.,Leading Candidate,State,Leading Party,Trailing Candidate,Trailing Party,Margin,Status
Ramtek,9,Shyamkumar (Babalu) Daulat Barve,Maharashtra,Indian National Congress,RAJU DEONATH PARVE,Shiv Sena,76768,Result Declared
Ranaghat,13,JAGANNATH SARKAR,West Bengal,Bharatiya Janata Party,MUKUT MANI ADHIKARI,All India Trinamool Congress,186899,Result Declared
Ranchi,8,SANJAY SETH,Jharkhand,Bharatiya Janata Party,YASHASWINI SAHAY,Indian National Congress,120512,Result Declared
RATLAM,24,ANITA NAGARSINGH CHOUHAN,Madhya Pradesh,Bharatiya Janata Party,KANTILAL BHURIA,Indian National Congress,207232,Result Declared
Ratnagiri- Sindhudurg,46,NARAYAN TATU RANE,Maharashtra,Bharatiya Janata Party,VINAYAK BHAURAO RAUT,Shiv Sena (Uddhav Balasaheb Thackrey),47858,Result Declared
Raver,4,KHADSE RAKSHA NIKHIL,Maharashtra,Bharatiya Janata Party,SHRIRAM DAYARAM PATIL,Nationalist Congress Party – Sharadchandra Pawar,272183,Result Declared
REWA,10,JANARDAN MISHRA,Madhya Pradesh,Bharatiya Janata Party,NEELAM ABHAY MISHRA,Indian National Congress,193374,Result Declared
Robertsganj,80,CHHOTELAL,Uttar Pradesh,Samajwadi Party,RINKI SINGH,Apna Dal (Soneylal),129234,Result Declared
ROHTAK,7,DEEPENDER SINGH HOODA,Haryana,Indian National Congress,DR. ARVIND KUMAR SHARMA,Bharatiya Janata Party,345298,Result Declared
Sabarkantha,5,SHOBHANABEN MAHENDRASINH BARAIYA,Gujarat,Bharatiya Janata Party,CHAUDHARI TUSHAR AMARSINH,Indian National Congress,155682,Result Declared
SAGAR,5,DR. LATA WANKHEDE,Madhya Pradesh,Bharatiya Janata Party,CHANDRA BHUSAN SINGH BUNDELA 'GUDDU RAJA',Indian National Congress,471222,Result Declared
Saharanpur,1,IMRAN MASOOD,Uttar Pradesh,Indian National Congress,RAGHAV LAKHANPAL,Bharatiya Janata Party,64542,Result Declared
SALEM,15,SELVAGANAPATHI T M,Tamil Nadu,Dravida Munnetra Kazhagam,VIGNESH P,All India Anna Dravida Munnetra Kazhagam,70357,Result Declared
Salempur,71,RAMASHANKAR RAJBHAR,Uttar Pradesh,Samajwadi Party,RAVINDAR KUSHAWAHA,Bharatiya Janata Party,3573,Result Declared
Samastipur,23,SHAMBHAVI,Bihar,Lok Janshakti Party(Ram Vilas),SUNNY HAZARI,Indian National Congress,187251,Result Declared
Sambalpur,3,DHARMENDRA PRADHAN,Odisha,Bharatiya Janata Party,PRANAB PRAKASH DAS,Biju Janata Dal,119836,Result Declared
Sambhal,8,ZIA UR REHMAN,Uttar Pradesh,Samajwadi Party,PARMESHWAR LAL SAINI,Bharatiya Janata Party,121494,Result Declared
Sangli,44,VISHAL (DADA) PRAKASHBAPU PATIL,Maharashtra,Independent,SANJAY (KAKA) PATIL,Bharatiya Janata Party,100053,Result Declared
Sangrur,12,GURMEET SINGH MEET HAYER,Punjab,Aam Aadmi Party,SUKHPAL SINGH KHAIRA,Indian National Congress,172560,Result Declared
Sant Kabir Nagar,62,LAXMIKANT PAPPU NISHAD,Uttar Pradesh,Samajwadi Party,PRAVIN KUMAR NISHAD,Bharatiya Janata Party,92170,Result Declared
Saran,20,RAJIV PRATAP RUDY,Bihar,Bharatiya Janata Party,ROHINI ACHARYA,Rashtriya Janata Dal,13661,Result Declared
Sasaram,34,MANOJ KUMAR,Bihar,Indian National Congress,SHIVESH KUMAR,Bharatiya Janata Party,19157,Result Declared
Satara,45,SHRIMANT CHH UDAYANRAJE PRATAPSINHAMAHARAJ BHONSLE,Maharashtra,Bharatiya Janata Party,SHASHIKANT JAYVANTRAO SHINDE,Nationalist Congress Party – Sharadchandra Pawar,32771,Result Declared
SATNA,9,GANESH SINGH,Madhya Pradesh,Bharatiya Janata Party,DABBU SIDDHARTH SUKHLAL KUSHWAHA,Indian National Congress,84949,Result Declared
Secunderabad,8,G. KISHAN REDDY,Telangana,Bharatiya Janata Party,DANAM NAGENDER,Indian National Congress,49944,Result Declared
SHAHDOL,12,SMT. HIMADRI SINGH,Madhya Pradesh,Bharatiya Janata Party,PHUNDE LAL SINGH MARKO,Indian National Congress,397340,Result Declared
Shahjahanpur,27,ARUN KUMAR SAGAR,Uttar Pradesh,Bharatiya Janata Party,JYOTSNA GOND,Samajwadi Party,55379,Result Declared
Sheohar,4,LOVELY ANAND,Bihar,Janata Dal (United),RITU JAISWAL,Rashtriya Janata Dal,29143,Result Declared
Shillong,1,DR. RICKY ANDREW J. SYNGKON,Meghalaya,Voice of the People Party,VINCENT H. PALA,Indian National Congress,371910,Result Declared
SHIMLA,4,Suresh Kumar Kashyap,Himachal Pradesh,Bharatiya Janata Party,Vinod Sultanpuri,Indian National Congress,91451,Result Declared
Shimoga,14,B.Y.RAGHAVENDRA,Karnataka,Bharatiya Janata Party,GEETHA SHIVARAJKUMAR,Indian National Congress,243715,Result Declared
Shirdi,38,BHAUSAHEB RAJARAM WAKCHAURE,Maharashtra,Shiv Sena (Uddhav Balasaheb Thackrey),LOKHANDE SADASHIV KISAN,Shiv Sena,50529,Result Declared
Shirur,36,DR. AMOL RAMSING KOLHE,Maharashtra,Nationalist Congress Party – Sharadchandra Pawar,ADHALRAO SHIVAJI DATTATREY,Nationalist Congress Party,140951,Result Declared
Shrawasti,58,RAM SHIROMANI VERMA,Uttar Pradesh,Samajwadi Party,SAKET MISRA,Bharatiya Janata Party,76673,Result Declared
SIDHI,11,DR. RAJESH MISHRA,Madhya Pradesh,Bharatiya Janata Party,KAMLESHWAR INDRAJIT KUMAR,Indian National Congress,206416,Result Declared
SIKAR,5,AMRARAM,Rajasthan,Communist Party of India (Marxist),SUMEDHANAND SARASWATI,Bharatiya Janata Party,72896,Result Declared
Sikkim,1,INDRA HANG SUBBA,Sikkim,Sikkim Krantikari Morcha,BHARAT BASNETT,Citizen Action Party-Sikkim,80830,Result Declared
Silchar,8,PARIMAL SUKLABAIDYA,Assam,Bharatiya Janata Party,SURYA KANTA SARKAR,Indian National Congress,264311,Result Declared
Singhbhum,10,JOBA MAJHI,Jharkhand,Jharkhand Mukti Morcha,GEETA KORA,Bharatiya Janata Party,168402,Result Declared
SIRSA,3,SELJA,Haryana,Indian National Congress,ASHOK TANWAR,Bharatiya Janata Party,268497,Result Declared
Sitamarhi,5,DEVESH CHANDRA THAKUR,Bihar,Janata Dal (United),ARJUN RAY,Rashtriya Janata Dal,51356,Result Declared
Sitapur,30,RAKESH RATHOR,Uttar Pradesh,Indian National Congress,RAJESH VERMA,Bharatiya Janata Party,89641,Result Declared
SIVAGANGA,31,KARTI P CHIDAMBARAM,Tamil Nadu,Indian National Congress,XAVIERDASS A,All India Anna Dravida Munnetra Kazhagam,205664,Result Declared
Siwan,18,VIJAYLAKSHMI DEVI,Bihar,Janata Dal (United),HENA SHAHAB,Independent,92857,Result Declared
Solapur,42,PRANITI SUSHILKUMAR SHINDE,Maharashtra,Indian National Congress,RAM VITTHAL SATPUTE,Bharatiya Janata Party,74197,Result Declared
SONIPAT,6,SATPAL BRAHAMCHARI,Haryana,Indian National Congress,MOHAN LAL BADOLI,Bharatiya Janata Party,21816,Result Declared
Sonitpur,11,RANJIT DUTTA,Assam,Bharatiya Janata Party,PREMLAL GANJU,Indian National Congress,361408,Result Declared
South Delhi,7,RAMVIR SINGH BIDHURI,Delhi,Bharatiya Janata Party,SAHI RAM,Aam Aadmi Party,124333,Result Declared
South Goa,2,CAPTAIN VIRIATO FERNANDES,Goa,Indian National Congress,PALLAVI SHRINIVAS DEMPO,Bharatiya Janata Party,13535,Result Declared
Srerampur,27,KALYAN BANERJEE,West Bengal,All India Trinamool Congress,KABIR SHANKAR BOSE,Bharatiya Janata Party,174830,Result Declared
Srikakulam,2,KINJARAPU RAMMOHAN NAIDU,Andhra Pradesh,Telugu Desam,TILAK PERADA,Yuvajana Sramika Rythu Congress Party,327901,Result Declared
SRINAGAR,2,AGA SYED RUHULLAH MEHDI,Jammu & Kashmir,Jammu & Kashmir National Conference,WAHEED UR REHMAN PARA,Jammu & Kashmir Peoples Democratic Party,188416,Result Declared
SRIPERUMBUDUR,5,T R BAALU,Tamil Nadu,Dravida Munnetra Kazhagam,G PREMKUMAR,All India Anna Dravida Munnetra Kazhagam,487029,Result Declared
Sultanpur,38,RAMBHUAL NISHAD,Uttar Pradesh,Samajwadi Party,MANEKA SANJAY GANDHI,Bharatiya Janata Party,43174,Result Declared
Sundargarh,2,JUAL ORAM,Odisha,Bharatiya Janata Party,DILIP KUMAR TIRKEY,Biju Janata Dal,138808,Result Declared
Supaul,8,DILESHWAR KAMAIT,Bihar,Janata Dal (United),CHANDRAHAS CHAUPAL,Rashtriya Janata Dal,169803,Result Declared
Surat,24,MUKESHKUMAR CHANDRAKAANT DALAL,Gujarat,Bharatiya Janata Party,,,-,Uncontested
Surendranagar,9,CHANDUBHAI CHHAGANBHAI SHIHORA,Gujarat,Bharatiya Janata Party,RUTVIKBHAI LAVJIBHAI MAKWANA,Indian National Congress,261617,Result Declared
SURGUJA,1,CHINTAMANI MAHARAJ,Chhattisgarh,Bharatiya Janata Party,SHASHI SINGH KORAM,Indian National Congress,64822,Result Declared
Tamluk,30,ABHIJIT GANGOPADHYAY,West Bengal,Bharatiya Janata Party,DEBANGSHU BHATTACHARYA,All India Trinamool Congress,77733,Result Declared
Tehri Garhwal,1,MALA RAJYA LAKSHMI SHAH,Uttarakhand,Bharatiya Janata Party,JOT SINGH GUNSOLA,Indian National Congress,272493,Result Declared
TENKASI,37,DR RANI SRI KUMAR,Tamil Nadu,Dravida Munnetra Kazhagam,DR K KRISHNASAMY,All India Anna Dravida Munnetra Kazhagam,196199,Result Declared
Thane,25,NARESH GANPAT MHASKE,Maharashtra,Shiv Sena,RAJAN BABURAO VICHARE,Shiv Sena (Uddhav Balasaheb Thackrey),217011,Result Declared
THANJAVUR,30,MURASOLI S,Tamil Nadu,Dravida Munnetra Kazhagam,SIVANESAN P,Desiya Murpokku Dravida Kazhagam,319583,Result Declared
THENI,33,THANGA TAMILSELVAN,Tamil Nadu,Dravida Munnetra Kazhagam,TTV DHINAKARAN,Amma Makkal Munnettra Kazagam,278825,Result Declared
Thirupathi(SC),23,GURUMOORTHY MADDILA,Andhra Pradesh,Yuvajana Sramika Rythu Congress Party,VARA PRASAD RAO VELAGAPALLI,Bharatiya Janata Party,14569,Result Declared
Thiruvananthapuram,20,SHASHI THAROOR,Kerala,Indian National Congress,RAJEEV CHANDRASEKHAR,Bharatiya Janata Party,16077,Result Declared
THOOTHUKKUDI,36,KANIMOZHI KARUNANIDHI,Tamil Nadu,Dravida Munnetra Kazhagam,SIVASAMY VELUMANI R,All India Anna Dravida Munnetra Kazhagam,392738,Result Declared
Thrissur,10,SURESH GOPI,Kerala,Bharatiya Janata Party,ADV V S SUNILKUMAR,Communist Party of India,74686,Result Declared
TIKAMGARH,6,DR. VIRENDRA KUMAR,Madhya Pradesh,Bharatiya Janata Party,KHUMAN URF PANKAJ AHIRWAR,Indian National Congress,403312,Result Declared
TIRUCHIRAPPALLI,24,DURAI VAIKO,Tamil Nadu,Marumalarchi Dravida Munnetra Kazhagam,KARUPPAIAH. P,All India Anna Dravida Munnetra Kazhagam,313094,Result Declared
TIRUNELVELI,38,ROBERT BRUCE C,Tamil Nadu,Indian National Congress,NAINAR NAGENTHRAN,Bharatiya Janata Party,165620,Result Declared
TIRUPPUR,18,"SUBBARAYAN, K.",Tamil Nadu,Communist Party of India,"ARUNACHALAM, P.",All India Anna Dravida Munnetra Kazhagam,125928,Result Declared
TIRUVALLUR,1,Sasikanth Senthil,Tamil Nadu,Indian National Congress,"Balaganapathy, V. Pon",Bharatiya Janata Party,572155,Result Declared
TIRUVANNAMALAI,11,"ANNADURAI, C.N.",Tamil Nadu,Dravida Munnetra Kazhagam,KALIYAPERUMAL M,All India Anna Dravida Munnetra Kazhagam,233931,Result Declared
TONK-SAWAI MADHOPUR,12,HARISH CHANDRA MEENA,Rajasthan,Indian National Congress,SUKHBIR SINGH JAUNAPURIA,Bharatiya Janata Party,64949,Result Declared
Tripura East,2,KRITI DEVI DEBBARMAN,Tripura,Bharatiya Janata Party,RAJENDRA REANG,Communist Party of India (Marxist),486819,Result Declared
Tripura West,1,BIPLAB KUMAR DEB,Tripura,Bharatiya Janata Party,ASISH KUMAR SAHA,Indian National Congress,611578,Result Declared
Tumkur,19,V. SOMANNA,Karnataka,Bharatiya Janata Party,S.P. MUDDAHANUMEGOWDA,Indian National Congress,175594,Result Declared
Tura,2,SALENG A SANGMA,Meghalaya,Indian National Congress,AGATHA K SANGMA,National People's Party,155241,Result Declared
UDAIPUR,19,MANNA LAL RAWAT,Rajasthan,Bharatiya Janata Party,TARACHAND MEENA,Indian National Congress,261608,Result Declared
UDHAMPUR,4,DR JITENDRA SINGH,Jammu & Kashmir,Bharatiya Janata Party,CH LAL SINGH,Indian National Congress,124373,Result Declared
Udupi Chikmagalur,15,KOTA SRINIVAS POOJARY,Karnataka,Bharatiya Janata Party,K. JAYAPRAKASH HEGDE,Indian National Congress,259175,Result Declared
Ujiarpur,22,NITYANAND RAI,Bihar,Bharatiya Janata Party,ALOK KUMAR MEHTA,Rashtriya Janata Dal,60102,Result Declared
UJJAIN,22,ANIL FIROJIYA,Madhya Pradesh,Bharatiya Janata Party,MAHESH PARMAR,Indian National Congress,375860,Result Declared
Uluberia,26,SAJDA AHMED,West Bengal,All India Trinamool Congress,ARUNUDAY PAULCHOWDHURY,Bharatiya Janata Party,218673,Result Declared
Unnao,33,SWAMI SACHCHIDANAND HARI SAKSHI,Uttar Pradesh,Bharatiya Janata Party,ANNU TANDON,Samajwadi Party,35818,Result Declared
Uttara Kannada,12,VISHWESHWAR HEGDE KAGERI,Karnataka,Bharatiya Janata Party,DR. ANJALI NIMBALKAR,Indian National Congress,337428,Result Declared
Vadakara,3,SHAFI PARAMBIL,Kerala,Indian National Congress,K K SHAILAJA TEACHER,Communist Party of India (Marxist),114506,Result Declared
Vadodara,20,DR. HEMANG JOSHI,Gujarat,Bharatiya Janata Party,PADHIYAR JASHPALSINH MAHENDRASINH (BAPU),Indian National Congress,582126,Result Declared
Vaishali,16,VEENA DEVI,Bihar,Lok Janshakti Party(Ram Vilas),VIJAY KUMAR SHUKLA,Rashtriya Janata Dal,89634,Result Declared
Valmiki Nagar,1,SUNIL KUMAR,Bihar,Janata Dal (United),DEEPAK YADAV,Rashtriya Janata Dal,98675,Result Declared
Valsad,26,DHAVAL LAXMANBHAI PATEL,Gujarat,Bharatiya Janata Party,ANANTKUMAR HASMUKHBHAI PATEL,Indian National Congress,210704,Result Declared
Varanasi,77,NARENDRA MODI,Uttar Pradesh,Bharatiya Janata Party,AJAY RAI,Indian National Congress,152513,Result Declared
VELLORE,8,DM KATHIR ANAND,Tamil Nadu,Dravida Munnetra Kazhagam,AC SHANMUGAM,Bharatiya Janata Party,215702,Result Declared
VIDISHA,18,SHIVRAJ SINGH CHOUHAN,Madhya Pradesh,Bharatiya Janata Party,PRATAPBHANU SHARMA,Indian National Congress,821408,Result Declared
Vijayawada,12,KESINENI SIVANATH (CHINNI),Andhra Pradesh,Telugu Desam,KESINENI SRINIVAS (NANI),Yuvajana Sramika Rythu Congress Party,282085,Result Declared
VILUPPURAM,13,RAVIKUMAR. D,Tamil Nadu,Viduthalai Chiruthaigal Katch,BHAGYARAJ. J,All India Anna Dravida Munnetra Kazhagam,70703,Result Declared
VIRUDHUNAGAR,34,MANICKAM TAGORE B,Tamil Nadu,Indian National Congress,VIJAYAPRABHAKARAN V,Desiya Murpokku Dravida Kazhagam,4379,Result Declared
Visakhapatnam,4,SRIBHARAT MATHUKUMILI,Andhra Pradesh,Telugu Desam,JHANSI LAKSHMI. BOTCHA.,Yuvajana Sramika Rythu Congress Party,504247,Result Declared
Vizianagaram,3,APPALANAIDU KALISETTI,Andhra Pradesh,Telugu Desam,BELLANA CHANDRASEKHAR,Yuvajana Sramika Rythu Congress Party,249351,Result Declared
Warangal,15,KADIYAM KAVYA,Telangana,Indian National Congress,AROORI RAMESH,Bharatiya Janata Party,220339,Result Declared
Wardha,8,AMAR SHARADRAO KALE,Maharashtra,Nationalist Congress Party – Sharadchandra Pawar,RAMDAS CHANDRABHAN TADAS,Bharatiya Janata Party,81648,Result Declared
Wayanad,4,RAHUL GANDHI,Kerala,Indian National Congress,ANNIE RAJA,Communist Party of India,364422,Result Declared
West Delhi,6,KAMALJEET SEHRAWAT,Delhi,Bharatiya Janata Party,MAHABAL MISHRA,Aam Aadmi Party,199013,Result Declared
Yavatmal- Washim,14,SANJAY UTTAMRAO DESHMUKH,Maharashtra,Shiv Sena (Uddhav Balasaheb Thackrey),RAJSHRITAI HEMANT PATIL (MAHALLE),Shiv Sena,94473,Result Declared
Zahirabad,5,SURESH KUMAR SHETKAR,Telangana,Indian National Congress,B. B. PATIL,Bharatiya Janata Party,46188,Result Declared
